Spectrum File Name,Forward Power [W],Flow Rate [sccm],Chamber Pressure [Torr],Aperture Opening [mm],Regulator Pressure [PSIG],Time [s],N2 Area,NI Area,NII Area,NIII Area,NIV Area
406W_9.0sccm_1.29E-5_180PSIG_94.5turn.txt,406,9,0.0000129,4.725,180,0,0.668185182536777,0.2978442708702,0.0267878218780166,0.00275868406638119,0.00160219090383002
350W_2.0sccm_5.31E-5_160PSIG_107turn_0sec.txt,350,2,0.0000531,5.35,160,0,0.676210952339426,0.247303947005786,0.0742399021628891,0.00130110647690669,0.000262002028165829
427W_4.9sccm_1.3E-5_100PSIG_94.5turn.txt,427,4.9,0.000013,4.725,100,0,0.581656374840831,0.361611083798064,0.0577453786508757,0.00072901401661386,0.000486083785681413
295W_6.0sccm_5.58E-5_140PSIG_111turn.txt,295,6,0.0000558,5.55,140,0,0.791270773918936,0.165139878053464,0.0410104037673972,0.000961892308810261,0.000463941648926922
275W_2.0sccm_1.27E-5_60PSIG_94.5turn.txt,275,2,0.0000127,4.725,60,0,0.644287864210893,0.26213206352738,0.0859406387369602,0.0041497531938336,0.00143284825559507
180W_0.7sccm_1.26E-5_60PSIG_94.5turn.txt,180,0.7,0.0000126,4.725,60,0,0.748207489440969,0.157319818400704,0.0962180681496877,0.00139709366670077,0.000221954558287286
115W_0.3sccm_5.46E-5_160PSIG_107turn_0sec.txt,115,0.3,0.0000546,5.35,160,0,0.879614848259087,0.0261026175620712,0.0883525692896471,0.00201052534074833,0.000337666353268142
455W_0.7sccm_1.26E-5_60PSIG_94.5turn.txt,455,0.7,0.0000126,4.725,60,0,0.511076464448803,0.345617110582933,0.132650193700387,0.00682288650965243,0.00176342192318278
155W_6.0sccm_5.61E-5_140PSIG_111turn.txt,155,6,0.0000561,5.55,140,0,0.878654630184822,0.0669609516382083,0.0498771457207952,0.000543941903120692,0.000178221318597603
301W_0.9sccm_7.09E-5_60PSIG_113.5turn.txt,301,0.9,0.0000709,5.675,60,0,0.715673155112466,0.188306325091854,0.0930844141814354,0.00186462101349145,0.000217481629361414
495W_0.7sccm_3.33E-5_50PSIG_109turn.txt,495,0.7,0.0000333,5.45,50,0,0.591719982534854,0.294603591151569,0.104455264622276,0.00526162686727808,0.00139021034723961
305W_4.9sccm_5.52E-5_140PSIG_111turn.txt,305,4.9,0.0000552,5.55,140,0,0.764025888549416,0.169095379292318,0.0639561544178042,0.0015317250717045,0.000449410102012841
260W_0.7sccm_8.93E-5_60PSIG_108turn.txt,260,0.7,0.0000893,5.4,60,0,0.676567776439327,0.136767939127429,0.182989356581132,0.00406437541872104,1.80038276292266E-05
455W_6.0sccm_5.57E-5_140PSIG_111turn.txt,455,6,0.0000557,5.55,140,0,0.587840079469548,0.363755179707267,0.0490888884825044,0.00063364219172225,0.000292368363687135
175W_6.0sccm_3.57E-5_160PSIG_109.5turn.txt,175,6,0.0000357,5.475,160,0,0.872880642125633,0.0964518960195858,0.0257888136193499,6.67922102276813E-05,0.000344467916470948
200W_0.7sccm_5.46E-5_40PSIG_111turn.txt,200,0.7,0.0000546,5.55,40,0,0.694550020282408,0.129462418863929,0.171906938348855,0.00404524795502501,3.4155036606918E-05
422W_0.7sccm_8.81E-5_60PSIG_108turn.txt,422,0.7,0.0000881,5.4,60,0,0.714849987061899,0.201371543557207,0.0831838437369247,0.00203362951775876,0.000337305067390728
